deficiency_code,annotation_severity,InspectionDate,PortId,VesselGroup,age,deficiency_finding,description_overview,immediate_causes,root_cause_analysis,corrective_action,preventive_action,detainable_deficiency
15101,Medium,2023-12-10,331,Dry Bulk,19.02258726899384,The Safety Management System has failed to ensure safe operation safety of crew and safety management.,The crew overhauled the mushroom and forgot to re- connect the cables.,The door wasn't closing due to Deformation.,Complacency on the part of the company on the part of the company on the part of the company on the part of the company on the part of the company on the part of the company on the part of the company on the part of the company on the part of the company on,The training and education onboard should be conducted as per the SMS Procedure.,Use of onboard video training as provided in the e-video training modules of KARCO to supplement the training and drills conducted onboard.,No
4106,Medium,2024-03-03,3229,Dry Bulk,12.005475701574264,Automatic telephone is out of service.,Code 17.,The documentation was reviewed by the master with proper clarifications provided.,"The PSCO asked the ship's staff to test the communication system in the steering gear room, but they didn't want to wait for it.","The communication system has once again been invited to be checked by the PSCO, and the same has been accepted before leaving the vessel.",It's not like it's like it's like it's like it's like it's like it's like it's like it's like it's like it's like it's like it's like it's like it,No
5199,Low,2024-04-09,1867,Dry Bulk,13.437371663244353,The officer in charge of the GMDSS station could not send a message from one satellite to the other.,The officer in charge of the GMDSS station could not send a message from one satellite to the other.,A malfunction in the antenna unit caused the system to stop working.,The officer couldn't send a message from one Inmarsat to the other because of his stress.,Additional training was conducted to all deck officers to correct the deficiency.,Bridge officers are well trained in proper use and test of equipment.,No
18324,Low,2024-05-14,2954,Chemical,15.53182751540041,The temperature in the freezer was recorded at -12 and -14 for the entire month of March.,The refrigerators that were put in place didn't have thermometers installed.,The temperature gauge was not checked.,The company procedures were not followed and the portable temperature meter was giving an incorrect temperature.,A new temperature meter will be purchased in the next port of call after the freezer was found to be -22 degrees Celsius.,The temperature log will be sent to the SHEQ department on a monthly basis by the master.,No
5118,Medium,2023-10-09,2135,Dry Bulk,17.522245037645447,The second officer is not familiar with the operation of the equipment.,The second officer is not familiar with the operation of the equipment.,The Chief Officer presented the plan to the officer.,The 2nd officer was aware of the use of GMDSS equipment in the past but was not able to demonstrate it.,Master carried out Familiarization training for the Bridge team for the operation of equipment.,Master reviewed this deficecny with the brdge team and it was agreed that as a weekly routine each deck officer to deostrate usage of GMDSS equipment to other team members and if any doubt on the operation to be clarified during the training session.,No
11134,Low,2022-12-19,1072,Dry Bulk,11.132101300479125,Liferafts are not connected in accordance with manufacturer's instructions.,Steering gear room has an oil store.,The chief officer took the waste paint off the safety pins.,Senior officer is unaware that the liferafts prevent its release.,Make sure liferafts are secured separately.,The case should be sent to the fleet as a lesson.,No
2111,High,2024-05-24,3106,Liquefied Gas,9.14715947980835,There was nothing visible from the Engine Room side.,The log book is not verified by the master.,"The ship's hull has a'scratch' measuring approximately 3mm deep and 700mm long, which was confirmed by an inspection from inside the engine room.","There is no sign of welding or hot work on the inside of the ship, which is why the PSC Officer referred to the visible sign of corrosion as a ""burn mark"".","The inspector was adamant that the matter be reported to Class, despite a photograph showing that there was no evidence of a previous repair or welding mark.","The photographs show that only a cosmetic upgrade is required, which has already been completed.",No
18420,Medium,2023-02-06,1439,General Cargo,13.60164271047228,The engine room is not clean.,The oil was found under the equipment in the engine room.,Poor order.,The cleaning/resurfacing is inadequate.,Immediate oil was removed and cleaned.,Discussed the oil spill drill with the crew.,No
12199,Low,2024-05-07,2713,Chemical,26.09993155373032,The cover for the emergency stop cargo pump is missing.,There are other DEFICIENCIES.,There are bad equipment.,There is inadequate technical design and design criteria.,The additional protection cover was installed in keeping with the continuous improvement policy of the company.,The crew members were briefed on the importance of good planning during the monthly safety committee meeting.,No
13199,Medium,2024-05-08,1140,Dry Bulk,12.265571526351811,"Main engine, D.G no.1 and D.G no.2 are overhauled.","According to the PSC report, there was a failure to report a malfunctioning auxiliary generator while the vessel was in Australian waters.",Important rules are missing.,The company offered to provide reports from the office but this was refused.,Correct extracts were sent to the PSC officer after new hardware was sent onboard.,"In case of malfunction, the company should be immediately notified for additional actions.",No
1308,Low,2022-11-13,3188,Dry Bulk,10.702258726899384,The working hours of crew who attended the drills did not correspond to the actual hours in the Record of Hours OF Rest of Seafarers.,The working hours of crew who attended the drills did not correspond to the actual hours in the Record of Hours OF Rest of Seafarers.,Instructions for correction were offered.,The Chief Officer admitted that the wrong entries had been recorded.,The incorrect entries were corrected.,The Master conducted a training session on the proper rest hours recording after the deficiency was discovered.,No
